,adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
0,#23843982619540480,GP-i-CT-US-U 4x5-20191014-M-bubbletea-2,0.0,#23843982596310480,GP-i-CT 2019-42,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1,#23843982617110480,GP-i-CT-US-U 9x16-20191014-M-bubbletea-2,0.0,#23843982596310480,GP-i-CT 2019-42,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2,#23843982597660480,GP-i-CT-US-U 4x5-20191014-M-bubbletea-1,0.0,#23843982596310480,GP-i-CT 2019-42,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
3,#23843982596400480,GP-i-CT-US-U 9x16-20191014-M-bubbletea-1,0.0,#23843982596310480,GP-i-CT 2019-42,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
4,#23843904932070480,GP-i-CT-US-U 4x5-20190920-R-bombfails-1,0.0,#23843901055590480,GP-i-CT 2019-38,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
5,#23843901055900480,GP-i-CT-US-U 9x16-20190919-K-set1_failstest-1,0.0,#23843901055590480,GP-i-CT 2019-38,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
6,#23843859713030480,GP-i-CT-US-U 1x1-20190904-A-set1_creatorsofsandwich-1,0.0,#23843859707650480,GP-i-CT 2019-36,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
7,#23843859708060480,GP-i-CT-US-U 4x5-20190904-A-set1_creatorsofsandwich-1,0.0,#23843859707650480,GP-i-CT 2019-36,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
8,#23843859707790480,GP-i-CT-US-U 9x16-20190904-A-set1_creatorsofsandwich-1,0.0,#23843859707650480,GP-i-CT 2019-36,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
9,#23843844200550480,GP-i-CT-US-U 9x16-20190729-A-set1_10sec_2-1,0.0,#23843763173140480,GP-i-CT 2019-31,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
10,#23843826441400480,GP-a-Tier3,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
11,#23843826441390480,GP-a-SGBEHKLUFR,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
12,#23843826441380480,GP-a-NZNOCHDE,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
13,#23843826441370480,GP-a-NLSEDKATIE,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
14,#23843826441360480,GP-a-IT,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
15,#23843826441350480,GP-a-CAAUUK_JP,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
16,#23843826441340480,GP-i-US,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
17,#23843826441330480,GP-i-Tier2,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
18,#23843826441320480,GP-i-Tier1,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
19,#23843826441310480,GP-i-T4,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
20,#23843826441300480,GP-i-ROW,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
21,#23843826441290480,GP-i-Rest-Tier2,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
22,#23843826441280480,GP-i-L-TK,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
23,#23843826441270480,GP-i-L-Tier3,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
24,#23843826441260480,GP-i-L-BRRU,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
25,#23843826441250480,GP-i-CH,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
26,#23843826441240480,GP-i-AUCAUK,0.0,#23843826441220480,GP-i-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
27,#23843826441230480,GP-a-US,0.0,#23843826441210480,GP-a-tiered-GEO-22.08,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
28,#23843818874120480,GP-i-CT-US-U 16x9-20190819-K-set1_30sec-1,0.0,#23843818873090480,GP-i-CT 2019-34,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
29,#23843818873130480,GP-i-CT-US-U 16x9-20190819-K-set1_15sec-1,0.0,#23843818873090480,GP-i-CT 2019-34,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
30,#23843812840210480,GP-i-CT-US-U 4x5-20190816-A-set1_bestperfcaptions-4,0.0,#23843812664410480,GP-i-CT 2019-33,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
31,#23843812814250480,GP-i-CT-US-U 4x5-20190816-A-set1_bestperfcaptions-3,0.0,#23843812664410480,GP-i-CT 2019-33,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
32,#23843812680880480,GP-i-CT-US-U 4x5-20190816-A-set1_bestperfcaptions-2,0.0,#23843812664410480,GP-i-CT 2019-33,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
33,#23843812664470480,GP-i-CT-US-U 4x5-20190816-A-set1_bestperfcaptions-1,0.0,#23843812664410480,GP-i-CT 2019-33,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
34,#23843789296240480,GP-i-T4,0.0,-1,-1,-1.0,-1.0,,-1,,-1
35,#23843784800680480,GP-i-CT-US-U 9x16-20190806-R-fingertest-2,0.0,#23843784788170480,GP-i-CT 2019-32,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
36,#23843784799600480,GP-i-CT-US-U 4x5-20190806-R-fingertest-2,0.0,#23843784788170480,GP-i-CT 2019-32,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
37,#23843784790200480,GP-i-CT-US-U 4x5-20190806-R-fingertest-1,0.0,#23843784788170480,GP-i-CT 2019-32,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
38,#23843784788220480,GP-i-CT-US-U 9x16-20190806-R-fingertest-1,0.0,#23843784788170480,GP-i-CT 2019-32,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
